"","V1","V2"
"602","Thamnophilus_aethiops",0
"603","Thamnophilus_aroyae",0
"604","Thamnophilus_nigriceps",0
"605","Xenornis_setifrons",0
"606","Thamnophilus_praecox",0
"607","Sakesphorus_melanonotus",0
"608","Thamnophilus_divisorius",0
"609","Thamnophilus_amazonicus",0
"610","Sakesphorus_melanothorax",0
"611","Thamnophilus_insignis",0
"612","Thamnophilus_schistaceus",0
"613","Thamnophilus_murinus",0
"614","Biatas_nigropectus",0
"615","Thamnophilus_palliatus",0
"616","Thamnophilus_tenuepunctatus",0
"617","Thamnophilus_multistriatus",0
"618","Thamnophilus_zarumae",0
"619","Thamnophilus_doliatus",1
"620","Thamnophilus_ruficapillus",1
"621","Thamnophilus_torquatus",0
"622","Sakesphorus_canadensis",1
"623","Sakesphorus_luctuosus",0
"624","Dysithamnus_plumbeus",0
"625","Dysithamnus_mentalis",1
"626","Herpsilochmus_axillaris",0
"627","Herpsilochmus_sticturus",0
"628","Herpsilochmus_gentryi",0
"629","Herpsilochmus_longirostris",0
"630","Herpsilochmus_dugandi",0
"631","Herpsilochmus_dorsimaculatus",0
"632","Herpsilochmus_pileatus",0
"633","Herpsilochmus_stictocephalus",0
"634","Herpsilochmus_pectoralis",0
"635","Herpsilochmus_roraimae",0
"636","Herpsilochmus_atricapillus",0
"637","Herpsilochmus_sellowi",0
"638","Herpsilochmus_parkeri",0
"639","Herpsilochmus_motacilloides",0
"640","Herpsilochmus_rufimarginatus",1
"641","Dysithamnus_puncticeps",0
"642","Dysithamnus_stictothorax",1
"643","Dysithamnus_leucostictus",0
"644","Dysithamnus_xanthopterus",1
"645","Dysithamnus_striaticeps",0
"646","Dysithamnus_occidentalis",0
"647","Mackenziaena_leachii",0
"648","Mackenziaena_severa",0
"649","Frederickena_viridis",0
"650","Frederickena_unduligera",0
"651","Hypoedaleus_guttatus",0
"652","Batara_cinerea",0
"653","Taraba_major",1
"654","Cymbilaimus_lineatus",1
"655","Cymbilaimus_sanctaemariae",0
"656","Dichrozona_cincta",0
"657","Thamnomanes_schistogynus",0
"658","Thamnomanes_caesius",0
"659","Thamnomanes_saturninus",0
"660","Thamnomanes_ardesiacus",0
"661","Myrmotherula_hauxwelli",0
"662","Megastictus_margaritatus",0
"663","Schistocichla_schistacea",0
"664","Schistocichla_rufifacies",0
"665","Myrmeciza_hyperythra",0
"666","Schistocichla_leucostigma",0
"667","Schistocichla_caurensis",0
"668","Sclateria_naevia",0
"669","Myrmoborus_leucophrys",0
"670","Myrmoborus_myotherinus",0
"671","Myrmoborus_lugubris",0
"672","Pyriglena_leuconota",0
"673","Pyriglena_atra",0
"674","Pyriglena_leucoptera",0
"675","Myrmeciza_immaculata",0
"676","Myrmeciza_fortis",0
"677","Myrmeciza_melanoceps",0
"678","Myrmeciza_goeldii",0
"679","Gymnocichla_nudiceps",0
"680","Rhopornis_ardesiacus",0
"681","Percnostola_lophotes",0
"682","Percnostola_arenarum",0
"683","Percnostola_rufifrons",1
"684","Myrmeciza_longipes",0
"685","Myrmeciza_exsul",0
"686","Myrmeciza_griseiceps",0
"687","Myrmeciza_berlepschi",0
"688","Myrmeciza_laemosticta",0
"689","Myrmeciza_nigricauda",0
"690","Myrmeciza_squamosa",0
"691","Myrmeciza_loricata",0
"692","Myrmeciza_ferruginea",0
"693","Hylophylax_punctulatus",0
"694","Hylophylax_naevioides",0
"695","Hylophylax_naevius",0
"696","Hypocnemoides_maculicauda",0
"697","Hypocnemoides_melanopogon",0
"698","Phlegopsis_erythroptera",0
"699","Phlegopsis_nigromaculata",0
"700","Skutchia_borbae",0
"701","Gymnopithys_leucaspis",0
"702","Gymnopithys_rufigula",0
"703","Gymnopithys_salvini",0
"704","Gymnopithys_lunulatus",0
"705","Rhegmatorhina_gymnops",0
"706","Rhegmatorhina_berlepschi",0
"707","Rhegmatorhina_hoffmannsi",0
"708","Rhegmatorhina_melanosticta",0
"709","Rhegmatorhina_cristata",0
"710","Willisornis_poecilinotus",0
"711","Phaenostictus_mcleannani",0
"712","Pithys_castaneus",0
"713","Pithys_albifrons",0
"714","Hypocnemis_peruviana",0
"715","Hypocnemis_striata",0
"716","Hypocnemis_flavescens",0
"717","Hypocnemis_subflava",0
"718","Hypocnemis_hypoxantha",0
"719","Hypocnemis_cantator",0
"720","Drymophila_ochropyga",0
"721","Drymophila_devillei",0
"722","Drymophila_caudata",0
"723","Drymophila_malura",0
"724","Drymophila_genei",0
"725","Drymophila_ferruginea",0
"726","Drymophila_rubricollis",0
"727","Drymophila_squamata",0
"728","Myrmeciza_hemimelaena",0
"729","Cercomacra_manu",0
"730","Cercomacra_ferdinandi",0
"731","Cercomacra_brasiliana",0
"732","Cercomacra_nigricans",0
"733","Cercomacra_carbonaria",0
"734","Cercomacra_cinerascens",0
"735","Cercomacra_melanaria",0
"736","Cercomacra_laeta",0
"737","Cercomacra_nigrescens",0
"738","Cercomacra_serva",0
"739","Cercomacra_tyrannina",0
"740","Cercomacra_parkeri",0
