Iteration	Posterior	Likelihood	Prior	alpha	beta	num_events[1]	num_events[2]	rate_pr[1]	rate_pr[2]	root_frequencies[1]	root_frequencies[2]
135	-5.93846	-7.49318	1.55472	0.003854208	0.0009913873	16.7246	1.64077	19.5689	199.468	0.691213	0.308787
136	-6.31016	-7.26032	0.950159	0.003854208	0.0009913873	14.0886	4.04608	23.2302	80.8884	0.996224	0.00377636
137	-4.54029	-8.06562	3.52533	0.003854208	0.0009913873	4.66533	2.23739	70.1517	146.278	0.184198	0.815802
138	-5.36773	-7.51636	2.14864	0.003854208	0.0009913873	14.1075	1.35833	23.199	240.943	0.664556	0.335444
139	-7.47548	-7.37251	-0.102967	0.003854208	0.0009913873	13.2449	8.72603	24.71	37.5062	0.840402	0.159598
140	-7.69042	-7.72757	0.0371485	0.003854208	0.0009913873	17.9491	5.04283	18.2338	64.9001	0.448149	0.551851
141	-6.26672	-7.44282	1.17611	0.003854208	0.0009913873	15.5151	2.80056	21.0943	116.863	0.751291	0.248709
142	-3.74838	-7.37447	3.62609	0.003854208	0.0009913873	6.75703	1.20665	48.4356	271.231	0.837839	0.162161
143	-3.80374	-7.37447	3.57073	0.003854208	0.0009913873	10.3658	0.293492	31.5733	1115.13	0.837839	0.162161
144	-6.24554	-8.29358	2.04804	0.003854208	0.0009913873	16.5622	0.954638	19.7607	342.832	0.0504219	0.949578
145	-5.32734	-8.32776	3.00042	0.003854208	0.0009913873	11.0593	0.909439	29.5933	359.871	0.0328671	0.967133
146	-6.83854	-7.65884	0.820295	0.003854208	0.0009913873	11.0593	6.34344	29.5933	51.5935	0.513624	0.486376
147	-5.52185	-7.88315	2.36131	0.003854208	0.0009913873	5.68336	4.70246	57.5858	69.5977	0.315563	0.684437
148	-5.74586	-7.49701	1.75115	0.003854208	0.0009913873	9.80201	3.899	33.3891	83.9396	0.686767	0.313233
149	-8.11152	-7.88612	-0.225403	0.003854208	0.0009913873	24.8471	2.86826	13.1718	114.104	0.313233	0.686767
150	-7.28511	-7.64474	0.35963	0.003854208	0.0009913873	15.9194	5.01322	20.5586	65.2835	0.527619	0.472381
151	-5.7123	-7.71579	2.00349	0.003854208	0.0009913873	13.4304	1.78287	24.3687	183.569	0.459059	0.540941
152	-6.31196	-7.77946	1.46751	0.003854208	0.0009913873	13.4304	2.91946	24.3687	112.103	0.401616	0.598384
153	-10.2687	-7.40311	-2.86558	0.003854208	0.0009913873	34.1675	7.71669	9.5787	42.4121	0.800851	0.199149
154	-14.1742	-7.39491	-6.77928	0.003854208	0.0009913873	34.1675	32.7269	9.5787	10.0004	0.811337	0.188663
155	-9.80788	-7.80099	-2.0069	0.003854208	0.0009913873	15.2736	17.6061	21.4278	18.589	0.383014	0.616986
156	-11.6536	-8.06729	-3.58627	0.003854208	0.0009913873	30.2799	14.1202	10.8085	23.1781	0.183099	0.816901
157	-8.07298	-7.87592	-0.197067	0.003854208	0.0009913873	12.0248	10.2256	27.2171	32.0061	0.321283	0.678717
158	-6.94346	-7.29807	0.354605	0.003854208	0.0009913873	12.0248	7.58524	27.2171	43.147	0.941835	0.0581652
159	-3.79956	-8.11042	4.31087	0.003854208	0.0009913873	1.20627	2.53509	271.315	129.1	0.155444	0.844556
160	-3.69211	-7.82092	4.12881	0.003854208	0.0009913873	0.683299	2.54042	478.971	128.829	0.366133	0.633867
161	-4.70857	-7.77504	3.06648	0.003854208	0.0009913873	0.741118	5.952	441.604	54.9867	0.405488	0.594512
162	-6.17017	-7.59193	1.42176	0.003854208	0.0009913873	4.62003	9.76872	70.8395	33.5029	0.581832	0.418168
163	-6.92213	-7.37789	0.45576	0.003854208	0.0009913873	1.84697	20.1849	177.199	16.2141	0.833369	0.166631
164	-7.85284	-7.44718	-0.405662	0.003854208	0.0009913873	4.92372	20.1849	66.4702	16.2141	0.745974	0.254026
165	-6.49876	-7.83885	1.34009	0.003854208	0.0009913873	4.32417	10.5821	75.6864	30.9278	0.351245	0.648755
166	-4.72185	-7.62162	2.89977	0.003854208	0.0009913873	3.19588	5.09184	102.407	64.2755	0.550997	0.449003
167	-5.0802	-7.32913	2.24893	0.003854208	0.0009913873	1.107	10.2077	295.645	32.0621	0.898595	0.101405
168	-2.86143	-7.77153	4.9101	0.003854208	0.0009913873	1.107	1.40972	295.645	232.16	0.408574	0.591426
169	-2.9881	-7.82681	4.83871	0.003854208	0.0009913873	1.77321	1.35125	184.569	242.206	0.361217	0.638783
170	-2.03073	-7.28421	5.25348	0.003854208	0.0009913873	0.758462	0.797698	431.505	410.281	0.961569	0.038431
171	-2.01616	-7.26125	5.24509	0.003854208	0.0009913873	2.07643	0.71011	157.617	460.887	0.994866	0.00513378
172	-6.64769	-7.83514	1.18745	0.003854208	0.0009913873	2.85439	13.7101	114.659	23.8715	0.354305	0.645695
173	-6.26385	-7.54203	1.27818	0.003854208	0.0009913873	2.54906	13.7101	128.392	23.8715	0.635751	0.364249
174	-5.70649	-7.37979	1.6733	0.003854208	0.0009913873	1.80159	12.6831	181.662	25.8044	0.830883	0.169117
175	-7.45216	-7.26924	-0.182914	0.003854208	0.0009913873	5.13671	18.3592	63.714	17.8265	0.983183	0.0168166
